#	########################################
#	##### Peptide Assembling by Sipros #####
#	########################################
#
#	###############
#	# Input Files #
#	###############
#
#	[Input_Files]
#
#	psm{Run1} = sipNew/Pan_052322_X1.psm.txt
#
#	pep{Run1} = sipNew/Pan_052322_X1.pep.txt
#
#	########################
#	# Filtering Parameters #
#	########################
#
#	[Protein_Identification]
#
#	# Minimum number of peptides per protein
#	Min_Peptide_Per_Protein = 1
#
#	# Minimum number of unique peptides per protein
#	Min_Unique_Peptide_Per_Protein = 1
#
#	#######################
#	# Statistical Results #
#	#######################
#
#	[Statistical_Results]
#
#	# Numbers of proteins before filtering
#	Decoy_Proteins_Before_Filtering = 72
#	Target_Proteins_Before_Filtering = 1196
#	Total_Proteins_Before_Filtering = 1268
#
#	# Numbers of proteins after filtering
#	Decoy_Proteins_After_Filtering = 71
#	Target_Proteins_After_Filtering = 1183
#	Total_Proteins_After_Filtering = 1254
#
#	# Protein FDR = Decoy_Proteins_After_Filtering / Total_Proteins_After_Filtering
#	Protein_FDR = 0.0566188197767
#
#	################
#	# Column Names #
#	################
#
#	[Column_Names]
#
#	+ = Marker of a protein line
#	ProteinID = Names of the protein
#	Run#_UniquePeptideCounts = Number of unique peptides in a run
#	Run#_TotalPeptideCounts = Number of all peptides in a run
#	Run#_UniqueSpectrumCounts = Number of unique PSM in a run
#	Run#_TotalSpectrumCounts = Number of all PSM in a run
#	Run#_BalancedSpectrumCounts = Balanced spectrum count in a run
#	ProteinDescription = Protein description
#	TargetMatch = T for target match and F for decoy match
#
#	* = Marker of a PSM line
#	Filename = Filename of input FT2 file
#	ScanNumber = Scan number of the PSM
#	ParentCharge = Charge state of the PSM
#	MeasuredParentMass = Measured parent mass
#	CalculatedParentMass = Calculated parent mass from peptide sequence
#	MassErrorDa = Mass error in Da with 1-Da error correction
#	MassErrorPPM = Mass error in PPM with 1-Da error correction
#	ScanType = Scan type of the PSM
#	SearchName = Sipros search name
#	ScoringFunction = Scoring function used in the search
#	Score = Score
#	DeltaZ = Difference between the best PSM and the next best PSM of this scan
#	DeltaP = Difference between the best modified PSM and its PTM isoform
#	IdentifiedPeptide = Identified peptide sequence with potential PTMs and mutations
#	OriginalPeptide = Original peptide sequence in the FASTA file
#	ProteinNames = Names of proteins of the peptide
#	ProteinCount = Number of proteins that the peptide can be assigned to
#	TargetMatch = T for target match and F for decoy match
#
	ProteinID	AverageEnrichmentLevel	StandardDeviation	UniqueSpectrumCounts	TotalSpectrumCounts	EnrichmentLevels	ProteinDescription
+	{sp|P0A6Y5|HSLO_ECOLI}	45000	0	1	1	{45000}	{sp|P0A6Y5|HSLO_ECOLI 33 kDa chaperonin OS=Escherichia coli (strain K12) OX=83333 GN=hslO PE=1 SV=1}
+	{sp|P0A6W5|GREA_ECOLI}	48000	0	2	2	{48000,48000}	{sp|P0A6W5|GREA_ECOLI Transcription elongation factor GreA OS=Escherichia coli (strain K12) OX=83333 GN=greA PE=1 SV=1}
+	{sp|P15034|AMPP_ECOLI}	51000	0	3	3	{51000,51000,51000}	{sp|P15034|AMPP_ECOLI Xaa-Pro aminopeptidase OS=Escherichia coli (strain K12) OX=83333 GN=pepP PE=1 SV=2}
+	{sp|P0A7Z4|RPOA_ECOLI}	57000	0	4	4	{57000,57000,57000,57000}	{sp|P0A7Z4|RPOA_ECOLI DNA-directed RNA polymerase subunit alpha OS=Escherichia coli (strain K12) OX=83333 GN=rpoA PE=1 SV=1}
+	{sp|P0AG84|YGHA_ECOLI}	47000	0	3	3	{47000,47000,47000}	{sp|P0AG84|YGHA_ECOLI Uncharacterized oxidoreductase YghA OS=Escherichia coli (strain K12) OX=83333 GN=yghA PE=1 SV=1}
+	{sp|P28903|NRDD_ECOLI}	49000	0	3	3	{49000,49000,49000}	{sp|P28903|NRDD_ECOLI Anaerobic ribonucleoside-triphosphate reductase OS=Escherichia coli (strain K12) OX=83333 GN=nrdD PE=1 SV=2}
+	{sp|P75818|YBJP_ECOLI}	47000	0	4	4	{47000,47000,47000,47000}	{sp|P75818|YBJP_ECOLI Uncharacterized lipoprotein YbjP OS=Escherichia coli (strain K12) OX=83333 GN=ybjP PE=1 SV=1}
+	{sp|P00370|DHE4_ECOLI}	57000	0	2	2	{57000,57000}	{sp|P00370|DHE4_ECOLI NADP-specific glutamate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=gdhA PE=1 SV=1}
+	{sp|P30125|LEU3_ECOLI}	50000	0	9	9	{50000,50000,50000,50000,50000,50000,50000,50000,50000}	{sp|P30125|LEU3_ECOLI 3-isopropylmalate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=leuB PE=1 SV=3}
+	{sp|P69503|APT_ECOLI}	51000	0	2	2	{51000,51000}	{sp|P69503|APT_ECOLI Adenine phosphoribosyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=apt PE=1 SV=1}
+	{sp|P0A780|NUSB_ECOLI}	52000	0	1	1	{52000}	{sp|P0A780|NUSB_ECOLI Transcription antitermination protein NusB OS=Escherichia coli (strain K12) OX=83333 GN=nusB PE=1 SV=1}
+	{sp|P60906|SYH_ECOLI}	41000	0	1	1	{41000}	{sp|P60906|SYH_ECOLI Histidine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=hisS PE=1 SV=2}
+	{sp|P0ABH7|CISY_ECOLI}	52000	0	4	4	{52000,52000,52000,52000}	{sp|P0ABH7|CISY_ECOLI Citrate synthase OS=Escherichia coli (strain K12) OX=83333 GN=gltA PE=1 SV=1}
+	{sp|P32664|NUDC_ECOLI}	50000	0	2	2	{50000,50000}	{sp|P32664|NUDC_ECOLI NAD-capped RNA hydrolase NudC OS=Escherichia coli (strain K12) OX=83333 GN=nudC PE=1 SV=2}
+	{sp|P0AE52|BCP_ECOLI}	48000	0	3	3	{48000,48000,48000}	{sp|P0AE52|BCP_ECOLI Peroxiredoxin Bcp OS=Escherichia coli (strain K12) OX=83333 GN=bcp PE=1 SV=1}
+	{sp|P0AEX3|KGTP_ECOLI}	56000	0	1	1	{56000}	{sp|P0AEX3|KGTP_ECOLI Alpha-ketoglutarate permease OS=Escherichia coli (strain K12) OX=83333 GN=kgtP PE=1 SV=1}
+	{sp|P0A862|TPX_ECOLI}	55000	0	2	2	{55000,55000}	{sp|P0A862|TPX_ECOLI Thiol peroxidase OS=Escherichia coli (strain K12) OX=83333 GN=tpx PE=1 SV=2}
+	{sp|P17846|CYSI_ECOLI}	47000	0	2	2	{47000,47000}	{sp|P17846|CYSI_ECOLI Sulfite reductase [NADPH] hemoprotein beta-component OS=Escherichia coli (strain K12) OX=83333 GN=cysI PE=1 SV=4}
+	{sp|P0A8A0|YEBC_ECOLI}	50000	0	4	4	{50000,50000,50000,50000}	{sp|P0A8A0|YEBC_ECOLI Probable transcriptional regulatory protein YebC OS=Escherichia coli (strain K12) OX=83333 GN=yebC PE=1 SV=1}
+	{sp|P63224|GMHA_ECOLI}	62000	0	1	1	{62000}	{sp|P63224|GMHA_ECOLI Phosphoheptose isomerase OS=Escherichia coli (strain K12) OX=83333 GN=gmhA PE=1 SV=1}
+	{sp|P13035|GLPD_ECOLI}	53000	0	5	5	{53000,53000,53000,53000,53000}	{sp|P13035|GLPD_ECOLI Aerobic glycerol-3-phosphate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=glpD PE=1 SV=3}
+	{sp|P05020|PYRC_ECOLI}	44000	0	5	5	{44000,44000,44000,44000,44000}	{sp|P05020|PYRC_ECOLI Dihydroorotase OS=Escherichia coli (strain K12) OX=83333 GN=pyrC PE=1 SV=2}
+	{sp|P31142|THTM_ECOLI}	51000	0	4	4	{51000,51000,51000,51000}	{sp|P31142|THTM_ECOLI 3-mercaptopyruvate sulfurtransferase OS=Escherichia coli (strain K12) OX=83333 GN=sseA PE=1 SV=3}
+	{sp|P0A7S9|RS13_ECOLI}	56000	0	1	1	{56000}	{sp|P0A7S9|RS13_ECOLI 30S ribosomal protein S13 OS=Escherichia coli (strain K12) OX=83333 GN=rpsM PE=1 SV=2}
+	{sp|P06959|ODP2_ECOLI}	59000	0	2	2	{59000,59000}	{sp|P06959|ODP2_ECOLI Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) OX=83333 GN=aceF PE=1 SV=3}
+	{sp|P0A6L2|DAPA_ECOLI}	55000	0	3	3	{55000,55000,55000}	{sp|P0A6L2|DAPA_ECOLI 4-hydroxy-tetrahydrodipicolinate synthase OS=Escherichia coli (strain K12) OX=83333 GN=dapA PE=1 SV=1}
+	{Rev_sp|P34749|HOFQ_ECOLI}	54000	0	1	1	{54000}	{N/A}
+	{sp|P68066|GRCA_ECOLI}	49000	0	1	3	{49000,49000,49000}	{sp|P68066|GRCA_ECOLI Autonomous glycyl radical cofactor OS=Escherichia coli (strain K12) OX=83333 GN=grcA PE=1 SV=1}
+	{sp|P27298|OPDA_ECOLI}	52000	0	3	3	{52000,52000,52000}	{sp|P27298|OPDA_ECOLI Oligopeptidase A OS=Escherichia coli (strain K12) OX=83333 GN=prlC PE=3 SV=3}
+	{sp|P00509|AAT_ECOLI}	51000	0	14	14	{51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000}	{sp|P00509|AAT_ECOLI Aspartate aminotransferase OS=Escherichia coli (strain K12) OX=83333 GN=aspC PE=1 SV=1}
+	{sp|P05459|PDXB_ECOLI}	57000	0	2	2	{57000,57000}	{sp|P05459|PDXB_ECOLI Erythronate-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=pdxB PE=2 SV=2}
+	{sp|P0A7S9|RS13_ECOLI}	49000	0	6	6	{49000,49000,49000,49000,49000,49000}	{sp|P0A7S9|RS13_ECOLI 30S ribosomal protein S13 OS=Escherichia coli (strain K12) OX=83333 GN=rpsM PE=1 SV=2}
+	{sp|P06987|HIS7_ECOLI}	53000	0	2	2	{53000,53000}	{sp|P06987|HIS7_ECOLI Histidine biosynthesis bifunctional protein HisB OS=Escherichia coli (strain K12) OX=83333 GN=hisB PE=1 SV=1}
+	{sp|P0AFG3|ODO1_ECOLI}	51000	0	7	7	{51000,51000,51000,51000,51000,51000,51000}	{sp|P0AFG3|ODO1_ECOLI 2-oxoglutarate dehydrogenase E1 component OS=Escherichia coli (strain K12) OX=83333 GN=sucA PE=1 SV=1}
+	{sp|P0AFF6|NUSA_ECOLI}	49000	0	4	4	{49000,49000,49000,49000}	{sp|P0AFF6|NUSA_ECOLI Transcription termination/antitermination protein NusA OS=Escherichia coli (strain K12) OX=83333 GN=nusA PE=1 SV=1}
+	{sp|P23894|HTPX_ECOLI}	59000	0	1	1	{59000}	{sp|P23894|HTPX_ECOLI Protease HtpX OS=Escherichia coli (strain K12) OX=83333 GN=htpX PE=1 SV=1}
+	{sp|P23869|PPIB_ECOLI}	44000	0	1	1	{44000}	{sp|P23869|PPIB_ECOLI Peptidyl-prolyl cis-trans isomerase B OS=Escherichia coli (strain K12) OX=83333 GN=ppiB PE=1 SV=2}
+	{sp|P60723|RL4_ECOLI}	47000	0	9	9	{47000,47000,47000,47000,47000,47000,47000,47000,47000}	{sp|P60723|RL4_ECOLI 50S ribosomal protein L4 OS=Escherichia coli (strain K12) OX=83333 GN=rplD PE=1 SV=1}
+	{sp|P0A7R1|RL9_ECOLI}	49000	0	13	13	{49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000}	{sp|P0A7R1|RL9_ECOLI 50S ribosomal protein L9 OS=Escherichia coli (strain K12) OX=83333 GN=rplI PE=1 SV=1}
+	{sp|P0AB38|LPOB_ECOLI}	39000	0	1	1	{39000}	{sp|P0AB38|LPOB_ECOLI Penicillin-binding protein activator LpoB OS=Escherichia coli (strain K12) OX=83333 GN=lpoB PE=1 SV=1}
+	{sp|P0AA16|OMPR_ECOLI}	54000	0	3	3	{54000,54000,54000}	{sp|P0AA16|OMPR_ECOLI DNA-binding dual transcriptional regulator OmpR OS=Escherichia coli (strain K12) OX=83333 GN=ompR PE=1 SV=1}
+	{sp|P05637|APAH_ECOLI}	48000	0	1	1	{48000}	{sp|P05637|APAH_ECOLI Bis(5'-nucleosyl)-tetraphosphatase [symmetrical] OS=Escherichia coli (strain K12) OX=83333 GN=apaH PE=1 SV=2}
+	{sp|P0A6H5|HSLU_ECOLI}	38000	0	1	1	{38000}	{sp|P0A6H5|HSLU_ECOLI ATP-dependent protease ATPase subunit HslU OS=Escherichia coli (strain K12) OX=83333 GN=hslU PE=1 SV=1}
+	{sp|P23836|PHOP_ECOLI}	49000	0	4	4	{49000,49000,49000,49000}	{sp|P23836|PHOP_ECOLI Transcriptional regulatory protein PhoP OS=Escherichia coli (strain K12) OX=83333 GN=phoP PE=1 SV=1}
+	{sp|P0AFL3|PPIA_ECOLI}	51000	0	2	2	{51000,51000}	{sp|P0AFL3|PPIA_ECOLI Peptidyl-prolyl cis-trans isomerase A OS=Escherichia coli (strain K12) OX=83333 GN=ppiA PE=1 SV=1}
+	{sp|P13857|RIML_ECOLI}	51000	0	1	1	{51000}	{sp|P13857|RIML_ECOLI Ribosomal-protein-serine acetyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=rimL PE=1 SV=1}
+	{sp|P0AG51|RL30_ECOLI}	43000	0	1	1	{43000}	{sp|P0AG51|RL30_ECOLI 50S ribosomal protein L30 OS=Escherichia coli (strain K12) OX=83333 GN=rpmD PE=1 SV=2}
+	{sp|P21513|RNE_ECOLI}	44000	0	3	3	{44000,44000,44000}	{sp|P21513|RNE_ECOLI Ribonuclease E OS=Escherichia coli (strain K12) OX=83333 GN=rne PE=1 SV=6}
+	{sp|P0AA04|PTHP_ECOLI}	54000	0	2	2	{54000,54000}	{sp|P0AA04|PTHP_ECOLI Phosphocarrier protein HPr OS=Escherichia coli (strain K12) OX=83333 GN=ptsH PE=1 SV=1}
+	{sp|P0A8E1|YCFP_ECOLI}	54000	0	3	3	{54000,54000,54000}	{sp|P0A8E1|YCFP_ECOLI UPF0227 protein YcfP OS=Escherichia coli (strain K12) OX=83333 GN=ycfP PE=1 SV=1}
+	{sp|P60723|RL4_ECOLI}	60000	0	1	1	{60000}	{sp|P60723|RL4_ECOLI 50S ribosomal protein L4 OS=Escherichia coli (strain K12) OX=83333 GN=rplD PE=1 SV=1}
+	{sp|P0AB38|LPOB_ECOLI}	45000	0	3	3	{45000,45000,45000}	{sp|P0AB38|LPOB_ECOLI Penicillin-binding protein activator LpoB OS=Escherichia coli (strain K12) OX=83333 GN=lpoB PE=1 SV=1}
+	{sp|P0AC02|BAMD_ECOLI}	52000	0	1	1	{52000}	{sp|P0AC02|BAMD_ECOLI Outer membrane protein assembly factor BamD OS=Escherichia coli (strain K12) OX=83333 GN=bamD PE=1 SV=1}
+	{sp|P61714|RISB_ECOLI}	48000	0	6	6	{48000,48000,48000,48000,48000,48000}	{sp|P61714|RISB_ECOLI 6,7-dimethyl-8-ribityllumazine synthase OS=Escherichia coli (strain K12) OX=83333 GN=ribE PE=1 SV=1}
+	{sp|P23839|YICC_ECOLI}	50000	0	9	9	{50000,50000,50000,50000,50000,50000,50000,50000,50000}	{sp|P23839|YICC_ECOLI UPF0701 protein YicC OS=Escherichia coli (strain K12) OX=83333 GN=yicC PE=1 SV=2}
+	{sp|P0A8E1|YCFP_ECOLI}	60000	0	1	1	{60000}	{sp|P0A8E1|YCFP_ECOLI UPF0227 protein YcfP OS=Escherichia coli (strain K12) OX=83333 GN=ycfP PE=1 SV=1}
+	{sp|P0ACF4|DBHB_ECOLI}	52000	0	1	1	{52000}	{sp|P0ACF4|DBHB_ECOLI DNA-binding protein HU-beta OS=Escherichia coli (strain K12) OX=83333 GN=hupB PE=1 SV=1}
+	{sp|P09373|PFLB_ECOLI}	46000	0	13	15	{46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000}	{sp|P09373|PFLB_ECOLI Formate acetyltransferase 1 OS=Escherichia coli (strain K12) OX=83333 GN=pflB PE=1 SV=2}
+	{sp|P0AB67|PNTB_ECOLI}	50000	0	3	3	{50000,50000,50000}	{sp|P0AB67|PNTB_ECOLI NAD(P) transhydrogenase subunit beta OS=Escherichia coli (strain K12) OX=83333 GN=pntB PE=1 SV=1}
+	{sp|P08200|IDH_ECOLI}	42000	0	4	4	{42000,42000,42000,42000}	{sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) OX=83333 GN=icd PE=1 SV=1}
+	{sp|P05459|PDXB_ECOLI}	53000	0	4	4	{53000,53000,53000,53000}	{sp|P05459|PDXB_ECOLI Erythronate-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=pdxB PE=2 SV=2}
+	{sp|P0A9L3|FKBB_ECOLI}	43000	0	1	1	{43000}	{sp|P0A9L3|FKBB_ECOLI FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase OS=Escherichia coli (strain K12) OX=83333 GN=fklB PE=1 SV=2}
+	{sp|P0A7K2|RL7_ECOLI}	61000	0	2	2	{61000,61000}	{sp|P0A7K2|RL7_ECOLI 50S ribosomal protein L7/L12 OS=Escherichia coli (strain K12) OX=83333 GN=rplL PE=1 SV=2}
+	{sp|P15288|PEPD_ECOLI}	59000	0	2	2	{59000,59000}	{sp|P15288|PEPD_ECOLI Cytosol non-specific dipeptidase OS=Escherichia coli (strain K12) OX=83333 GN=pepD PE=1 SV=3}
+	{sp|P0AD96|LIVJ_ECOLI}	63000	0	1	1	{63000}	{sp|P0AD96|LIVJ_ECOLI Leu/Ile/Val-binding protein OS=Escherichia coli (strain K12) OX=83333 GN=livJ PE=1 SV=1}
+	{sp|P0AC41|SDHA_ECOLI}	43000	0	1	1	{43000}	{sp|P0AC41|SDHA_ECOLI Succinate dehydrogenase flavoprotein subunit OS=Escherichia coli (strain K12) OX=83333 GN=sdhA PE=1 SV=1}
+	{sp|P00509|AAT_ECOLI}	47000	0	11	11	{47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000}	{sp|P00509|AAT_ECOLI Aspartate aminotransferase OS=Escherichia coli (strain K12) OX=83333 GN=aspC PE=1 SV=1}
+	{sp|P0A9D2|GSTA_ECOLI}	61000	0	1	1	{61000}	{sp|P0A9D2|GSTA_ECOLI Glutathione S-transferase GstA OS=Escherichia coli (strain K12) OX=83333 GN=gstA PE=1 SV=1}
+	{sp|P62707|GPMA_ECOLI}	48000	0	20	20	{48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000}	{sp|P62707|GPMA_ECOLI 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase OS=Escherichia coli (strain K12) OX=83333 GN=gpmA PE=1 SV=2}
+	{sp|P17315|CIRA_ECOLI}	56000	0	1	1	{56000}	{sp|P17315|CIRA_ECOLI Colicin I receptor OS=Escherichia coli (strain K12) OX=83333 GN=cirA PE=1 SV=2}
+	{sp|P0A7U7|RS20_ECOLI}	62000	0	1	1	{62000}	{sp|P0A7U7|RS20_ECOLI 30S ribosomal protein S20 OS=Escherichia coli (strain K12) OX=83333 GN=rpsT PE=1 SV=2}
+	{sp|P0AF50|YJBR_ECOLI}	51000	0	5	5	{51000,51000,51000,51000,51000}	{sp|P0AF50|YJBR_ECOLI Uncharacterized protein YjbR OS=Escherichia coli (strain K12) OX=83333 GN=yjbR PE=1 SV=1}
+	{sp|P37177|PT1P_ECOLI}	48000	0	1	1	{48000}	{sp|P37177|PT1P_ECOLI Phosphoenolpyruvate-dependent phosphotransferase system OS=Escherichia coli (strain K12) OX=83333 GN=ptsP PE=1 SV=2}
+	{sp|P36938|PGM_ECOLI}	47000	0	7	7	{47000,47000,47000,47000,47000,47000,47000}	{sp|P36938|PGM_ECOLI Phosphoglucomutase OS=Escherichia coli (strain K12) OX=83333 GN=pgm PE=1 SV=1}
+	{sp|P22255|CYSQ_ECOLI}	51000	0	3	3	{51000,51000,51000}	{sp|P22255|CYSQ_ECOLI 3'(2'),5'-bisphosphate nucleotidase CysQ OS=Escherichia coli (strain K12) OX=83333 GN=cysQ PE=1 SV=2}
+	{sp|P0A940|BAMA_ECOLI}	41000	0	1	1	{41000}	{sp|P0A940|BAMA_ECOLI Outer membrane protein assembly factor BamA OS=Escherichia coli (strain K12) OX=83333 GN=bamA PE=1 SV=1}
+	{sp|P0A917|OMPX_ECOLI}	46000	0	3	3	{46000,46000,46000}	{sp|P0A917|OMPX_ECOLI Outer membrane protein X OS=Escherichia coli (strain K12) OX=83333 GN=ompX PE=1 SV=1}
+	{sp|P0AET5|HDED_ECOLI}	53000	0	1	1	{53000}	{sp|P0AET5|HDED_ECOLI Protein HdeD OS=Escherichia coli (strain K12) OX=83333 GN=hdeD PE=1 SV=1}
+	{sp|P0A7Z0|RPIA_ECOLI}	50000	0	1	1	{50000}	{sp|P0A7Z0|RPIA_ECOLI Ribose-5-phosphate isomerase A OS=Escherichia coli (strain K12) OX=83333 GN=rpiA PE=1 SV=1}
+	{sp|P56262|DLHH_ECOLI}	48000	0	1	1	{48000}	{sp|P56262|DLHH_ECOLI Putative carboxymethylenebutenolidase OS=Escherichia coli (strain K12) OX=83333 GN=ysgA PE=3 SV=3}
+	{sp|P0ABB4|ATPB_ECOLI}	59000	0	2	2	{59000,59000}	{sp|P0ABB4|ATPB_ECOLI ATP synthase subunit beta OS=Escherichia coli (strain K12) OX=83333 GN=atpD PE=1 SV=2}
+	{sp|P0A6G7|CLPP_ECOLI}	51000	0	2	2	{51000,51000}	{sp|P0A6G7|CLPP_ECOLI ATP-dependent Clp protease proteolytic subunit OS=Escherichia coli (strain K12) OX=83333 GN=clpP PE=1 SV=1}
+	{sp|P61889|MDH_ECOLI}	50000	0	12	12	{50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000}	{sp|P61889|MDH_ECOLI Malate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=mdh PE=1 SV=1}
+	{sp|P61949|FLAV_ECOLI}	49000	0	4	4	{49000,49000,49000,49000}	{sp|P61949|FLAV_ECOLI Flavodoxin 1 OS=Escherichia coli (strain K12) OX=83333 GN=fldA PE=1 SV=2}
+	{sp|P61517|CAN_ECOLI}	57000	0	1	1	{57000}	{sp|P61517|CAN_ECOLI Carbonic anhydrase 2 OS=Escherichia coli (strain K12) OX=83333 GN=can PE=1 SV=1}
+	{sp|P36938|PGM_ECOLI}	59000	0	1	1	{59000}	{sp|P36938|PGM_ECOLI Phosphoglucomutase OS=Escherichia coli (strain K12) OX=83333 GN=pgm PE=1 SV=1}
+	{sp|P06989|HIS2_ECOLI}	50000	0	3	3	{50000,50000,50000}	{sp|P06989|HIS2_ECOLI Histidine biosynthesis bifunctional protein HisIE OS=Escherichia coli (strain K12) OX=83333 GN=hisI PE=3 SV=3}
+	{sp|P45546|YHFT_ECOLI}	37000	0	2	2	{37000,37000}	{sp|P45546|YHFT_ECOLI Uncharacterized protein YhfT OS=Escherichia coli (strain K12) OX=83333 GN=yhfT PE=4 SV=2}
+	{sp|P0A955|ALKH_ECOLI}	46000	0	7	7	{46000,46000,46000,46000,46000,46000,46000}	{sp|P0A955|ALKH_ECOLI KHG/KDPG aldolase OS=Escherichia coli (strain K12) OX=83333 GN=eda PE=1 SV=1}
+	{sp|P21165|PEPQ_ECOLI}	54000	0	2	2	{54000,54000}	{sp|P21165|PEPQ_ECOLI Xaa-Pro dipeptidase OS=Escherichia coli (strain K12) OX=83333 GN=pepQ PE=1 SV=2}
+	{sp|P0ACY1|YDJA_ECOLI}	44000	0	3	3	{44000,44000,44000}	{sp|P0ACY1|YDJA_ECOLI Putative NAD(P)H nitroreductase YdjA OS=Escherichia coli (strain K12) OX=83333 GN=ydjA PE=1 SV=1}
+	{sp|P0AG82|PSTS_ECOLI}	53000	0	1	1	{53000}	{sp|P0AG82|PSTS_ECOLI Phosphate-binding protein PstS OS=Escherichia coli (strain K12) OX=83333 GN=pstS PE=1 SV=1}
+	{sp|P0AE91|CREA_ECOLI}	55000	0	1	1	{55000}	{sp|P0AE91|CREA_ECOLI Protein CreA OS=Escherichia coli (strain K12) OX=83333 GN=creA PE=3 SV=1}
+	{sp|P07862|DDLB_ECOLI}	48000	0	1	1	{48000}	{sp|P07862|DDLB_ECOLI D-alanine--D-alanine ligase B OS=Escherichia coli (strain K12) OX=83333 GN=ddlB PE=1 SV=3}
+	{sp|P45577|PROQ_ECOLI}	46000	0	2	2	{46000,46000}	{sp|P45577|PROQ_ECOLI RNA chaperone ProQ OS=Escherichia coli (strain K12) OX=83333 GN=proQ PE=1 SV=2}
+	{sp|P0C8J8|GATZ_ECOLI}	53000	0	1	4	{53000,53000,53000,53000}	{sp|P0C8J8|GATZ_ECOLI D-tagatose-1,6-bisphosphate aldolase subunit GatZ OS=Escherichia coli (strain K12) OX=83333 GN=gatZ PE=1 SV=1}
+	{sp|P0AE18|MAP1_ECOLI}	50000	0	1	1	{50000}	{sp|P0AE18|MAP1_ECOLI Methionine aminopeptidase OS=Escherichia coli (strain K12) OX=83333 GN=map PE=1 SV=1}
+	{sp|P15288|PEPD_ECOLI}	61000	0	1	1	{61000}	{sp|P15288|PEPD_ECOLI Cytosol non-specific dipeptidase OS=Escherichia coli (strain K12) OX=83333 GN=pepD PE=1 SV=3}
+	{sp|P0A850|TIG_ECOLI}	49000	0	14	14	{49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000}	{sp|P0A850|TIG_ECOLI Trigger factor OS=Escherichia coli (strain K12) OX=83333 GN=tig PE=1 SV=1}
+	{sp|P0AG27|YIBN_ECOLI}	56000	0	2	2	{56000,56000}	{sp|P0AG27|YIBN_ECOLI Uncharacterized protein YibN OS=Escherichia coli (strain K12) OX=83333 GN=yibN PE=1 SV=1}
+	{sp|P16700|CYSP_ECOLI}	53000	0	3	3	{53000,53000,53000}	{sp|P16700|CYSP_ECOLI Thiosulfate-binding protein OS=Escherichia coli (strain K12) OX=83333 GN=cysP PE=1 SV=1}
+	{Rev_sp|P25746|HFLD_ECOLI}	52000	0	1	1	{52000}	{N/A}
+	{sp|P06610|BTUE_ECOLI}	43000	0	1	1	{43000}	{sp|P06610|BTUE_ECOLI Thioredoxin/glutathione peroxidase BtuE OS=Escherichia coli (strain K12) OX=83333 GN=btuE PE=1 SV=1}
+	{sp|P0AAI3|FTSH_ECOLI}	62000	0	1	1	{62000}	{sp|P0AAI3|FTSH_ECOLI ATP-dependent zinc metalloprotease FtsH OS=Escherichia coli (strain K12) OX=83333 GN=ftsH PE=1 SV=1}
+	{sp|P13009|METH_ECOLI}	44000	0	3	3	{44000,44000,44000}	{sp|P13009|METH_ECOLI Methionine synthase OS=Escherichia coli (strain K12) OX=83333 GN=metH PE=1 SV=5}
+	{sp|P00904|TRPGD_ECOLI}	51000	0	9	9	{51000,51000,51000,51000,51000,51000,51000,51000,51000}	{sp|P00904|TRPGD_ECOLI Bifunctional protein TrpGD OS=Escherichia coli (strain K12) OX=83333 GN=trpGD PE=1 SV=3}
+	{sp|P17846|CYSI_ECOLI}	50000	0	3	3	{50000,50000,50000}	{sp|P17846|CYSI_ECOLI Sulfite reductase [NADPH] hemoprotein beta-component OS=Escherichia coli (strain K12) OX=83333 GN=cysI PE=1 SV=4}
+	{sp|P16659|SYP_ECOLI}	48000	0	28	28	{48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000}	{sp|P16659|SYP_ECOLI Proline--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=proS PE=1 SV=4}
